region_kamp,region_muk,region_wak,educ_0,educ_1,educ_2,educ_3,empl,urban,age,relig_catholic,relig_prot,relig_bornagain,relig_muslim,relig_anglican,relig_christian,relig_adventist
1,0,0,0,0,0,1,0,1,30,0,0,0,0,0,0,1
1,0,0,0,0,0,1,1,1,25,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,1,26,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,28,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,1,31,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,31,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,1,32,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,1,20,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,21,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,22,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,22,0,0,1,0,0,0,0
1,0,0,0,0,1,0,1,1,23,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,25,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,27,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,27,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,28,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,28,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,28,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,29,0,0,1,0,0,0,0
1,0,0,0,0,0,1,1,1,29,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,33,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,1,24,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,29,0,0,1,0,0,0,0
0,1,0,0,0,0,1,1,0,29,0,0,1,0,0,0,0
0,0,1,0,0,0,1,1,1,31,0,0,1,0,0,0,0
0,0,1,0,0,0,1,1,1,31,0,0,1,0,0,0,0
1,0,0,0,0,1,0,0,1,20,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,22,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,22,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,23,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,23,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,23,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,23,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,23,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,24,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,24,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,25,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,25,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,25,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,25,1,0,0,0,0,0,0
1,0,0,NA,NA,NA,NA,Yes,1,25,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,26,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,27,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,27,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,27,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,28,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,28,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,28,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,29,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,30,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,31,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,32,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,34,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,34,1,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,40,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,29,1,0,0,0,0,0,0
NA,NA,NA,0,0,0,1,0,1,22,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,23,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,23,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,23,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,24,1,0,0,0,0,0,0
0,0,1,0,0,0,1,0,1,26,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,29,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,29,1,0,0,0,0,0,0
0,0,1,0,0,0,1,1,1,33,1,0,0,0,0,0,0
